residential,secondary,0
secondary,residential,0
residential,default,0
default,residential,0
secondary,default,0
default,secondary,0
primary,unclassified,0
residential,tertiary_link,0
tertiary_link,residential,0
tertiary_link,default,0
default,tertiary_link,0
tertiary_link,primary_link,0
primary_link,tertiary_link,0
tertiary_link,secondary,0
secondary,tertiary_link,0
residential,primary_link,0
primary_link,residential,0
primary_link,default,0
default,primary_link,0
secondary,primary_link,0
primary_link,secondary,0
